crop,region,month,temperature,humidity,rainfall,pest_alert
Soybean,Maharashtra,3,19.12350121827636,60.05772333428763,234.6031846460718,Root Rot
Barley,Bihar,9,19.08244876315515,33.070049026172555,298.28688102238095,Root Rot
Groundnut,WB,6,36.91584407885614,21.98400994056034,79.4151148318438,Wilt
Cotton,Bihar,11,19.741999329265496,27.165417390578515,275.9598739326826,Root Rot
Soybean,Punjab,12,25.347407792203285,69.02881783869728,225.13322628235935,Root Rot
Jowar,TN,11,31.930331517786936,79.29680869194397,218.0959406225162,Root Rot
Maize,UP,10,16.284431248282566,74.77766020334758,211.4523591035715,Root Rot
Soybean,Haryana,11,17.61517244757681,75.29128329025636,170.74207573651762,Mosaic Virus
Groundnut,Gujarat,8,20.741856792853802,38.26726622567475,126.02191027196567,Root Rot
Cotton,Maharashtra,1,29.6267016804217,89.23602222938104,284.13678960136446,Root Rot
Barley,AP,4,34.52471953438984,26.04859757674088,62.30433363151163,None
Groundnut,Haryana,7,26.401172899929986,77.47667358033054,69.27498810063395,Stem Borer
Groundnut,MP,12,13.98786209948871,26.777209176350027,24.680098177966872,Rust Fungus
Maize,Haryana,9,23.387365692091635,38.72719132872479,227.02781341958962,Root Rot
Sugarcane,TN,12,13.830721663695819,54.67898197168332,270.31581869555725,Root Rot
Cotton,Gujarat,3,12.648915090000859,23.733853953479752,72.09246259931096,Wilt
Rice,Haryana,12,27.688503095543435,47.59199418102574,29.637601812829054,None
Groundnut,Gujarat,11,38.68636335393769,44.50800675364074,88.34910372090198,Leaf Curl
Sugarcane,Haryana,12,35.128355000021784,65.30204572343729,267.42710405043306,Root Rot
Rice,Bihar,6,33.23413787627479,70.26094011537211,24.531310422462184,Blight
Cotton,Bihar,8,31.81167897596001,26.334671030154205,48.323842611033804,Aphids
Wheat,WB,11,36.91383571407093,22.66479351839677,26.996767744469263,Stem Borer
Jowar,Punjab,3,32.58505252428333,74.31239256555563,284.0820141580021,Root Rot
Sugarcane,Haryana,6,28.806320359023143,56.95939709694637,57.94088226294459,Rust Fungus
Bajra,Maharashtra,9,20.94040240821161,57.424572747314784,272.117116227083,Root Rot
Wheat,Haryana,9,13.028316695793782,88.65016698458702,152.56281443036625,Aphids
Jowar,MP,6,23.83100091532031,50.64190722247217,130.56027852041302,Wilt
Maize,Gujarat,5,37.74352708436102,33.733476503038645,139.4233999520921,Blight
Soybean,Maharashtra,1,27.493007961254577,67.64487975839467,137.2273815562773,Mosaic Virus
Barley,WB,3,15.535125396854006,77.09746429891919,115.6847400813112,Mosaic Virus
Bajra,Gujarat,3,29.470699254425316,55.16525447207041,247.02380568445784,Root Rot
Maize,Bihar,12,23.963867022415133,68.42702129774605,162.2387991987669,Stem Borer
Cotton,AP,4,37.94140265748899,55.97519836088252,297.47460138936907,Aphids
Maize,Maharashtra,5,14.828197301860078,48.51465808975884,164.9760303914068,Rust Fungus
Soybean,Bihar,11,31.360352455202875,22.399454675589194,249.17280870333514,Root Rot
Cotton,MP,8,30.44807394420405,32.161980740144585,228.6271361344692,Aphids
Bajra,Maharashtra,11,39.506247355645144,53.58372423529269,132.30874153822475,Aphids
Soybean,Maharashtra,9,26.947363798553162,47.75700016310725,240.81790433594122,Root Rot
Rice,Maharashtra,12,36.147221078009196,79.0018637714847,63.391007827036645,Blight
Barley,Punjab,7,10.741418125942921,27.591214812640743,76.93575081677193,Leaf Curl
