crop,region,month,temperature,humidity,rainfall,rainfall_next_7d
Soybean,Maharashtra,3,19.12350121827636,60.05772333428763,234.6031846460718,276.2688079726618
Barley,Bihar,9,19.08244876315515,33.070049026172555,298.28688102238095,312.90351179986106
Groundnut,WB,6,36.91584407885614,21.98400994056034,79.4151148318438,107.5255364318476
Cotton,Bihar,11,19.741999329265496,27.165417390578515,275.9598739326826,206.3311215355171
Soybean,Punjab,12,25.347407792203285,69.02881783869728,225.13322628235935,206.03240887758466
Jowar,TN,11,31.930331517786936,79.29680869194397,218.0959406225162,288.7106690951822
Maize,UP,10,16.284431248282566,74.77766020334758,211.4523591035715,262.0870908202301
Soybean,Haryana,11,17.61517244757681,75.29128329025636,170.74207573651762,214.37338373508206
Groundnut,Gujarat,8,20.741856792853802,38.26726622567475,126.02191027196567,153.37829566031496
Cotton,Maharashtra,1,29.6267016804217,89.23602222938104,284.13678960136446,208.58229603158432
Barley,AP,4,34.52471953438984,26.04859757674088,62.30433363151163,45.287289791143436
Groundnut,Haryana,7,26.401172899929986,77.47667358033054,69.27498810063395,84.13991150996189
Groundnut,MP,12,13.98786209948871,26.777209176350027,24.680098177966872,5.362289861754974
Maize,Haryana,9,23.387365692091635,38.72719132872479,227.02781341958962,274.749122188886
Sugarcane,TN,12,13.830721663695819,54.67898197168332,270.31581869555725,323.05044892324446
Cotton,Gujarat,3,12.648915090000859,23.733853953479752,72.09246259931096,73.19558415146341
Rice,Haryana,12,27.688503095543435,47.59199418102574,29.637601812829054,36.22366978497324
Groundnut,Gujarat,11,38.68636335393769,44.50800675364074,88.34910372090198,98.22199711613605
Sugarcane,Haryana,12,35.128355000021784,65.30204572343729,267.42710405043306,204.9578263205966
Rice,Bihar,6,33.23413787627479,70.26094011537211,24.531310422462184,38.384515489507876
Cotton,Bihar,8,31.81167897596001,26.334671030154205,48.323842611033804,55.16135755705886
Wheat,WB,11,36.91383571407093,22.66479351839677,26.996767744469263,37.05034408672459
Jowar,Punjab,3,32.58505252428333,74.31239256555563,284.0820141580021,358.64149185755707
Sugarcane,Haryana,6,28.806320359023143,56.95939709694637,57.94088226294459,70.69625927770407
Bajra,Maharashtra,9,20.94040240821161,57.424572747314784,272.117116227083,205.98771084464826
Wheat,Haryana,9,13.028316695793782,88.65016698458702,152.56281443036625,185.49938637555823
Jowar,MP,6,23.83100091532031,50.64190722247217,130.56027852041302,159.48549125609682
Maize,Gujarat,5,37.74352708436102,33.733476503038645,139.4233999520921,115.10259349413104
Soybean,Maharashtra,1,27.493007961254577,67.64487975839467,137.2273815562773,104.21228288879158
Barley,WB,3,15.535125396854006,77.09746429891919,115.6847400813112,89.46032438412712
Bajra,Gujarat,3,29.470699254425316,55.16525447207041,247.02380568445784,301.4300944613575
Maize,Bihar,12,23.963867022415133,68.42702129774605,162.2387991987669,194.808882847673
Cotton,AP,4,37.94140265748899,55.97519836088252,297.47460138936907,353.7756577736348
Maize,Maharashtra,5,14.828197301860078,48.51465808975884,164.9760303914068,185.49109176596284
Soybean,Bihar,11,31.360352455202875,22.399454675589194,249.17280870333514,241.47841200769975
Cotton,MP,8,30.44807394420405,32.161980740144585,228.6271361344692,180.11769434761777
Bajra,Maharashtra,11,39.506247355645144,53.58372423529269,132.30874153822475,142.93804436915926
Soybean,Maharashtra,9,26.947363798553162,47.75700016310725,240.81790433594122,249.1576115075796
Rice,Maharashtra,12,36.147221078009196,79.0018637714847,63.391007827036645,51.60332557944031
Barley,Punjab,7,10.741418125942921,27.591214812640743,76.93575081677193,97.7210076936309
Bajra,Maharashtra,10,13.686759046723978,23.50892742149654,193.28626701944313,195.44219083066767
Rice,Punjab,6,20.378157185395914,26.099608743660557,219.23790599252786,245.923910489109
Jowar,Bihar,3,28.579821914717137,67.46648687591528,200.27207647507953,226.54994072830743
Bajra,WB,9,23.47238034902226,61.61314343709415,162.64426355767233,127.13656806607146
Jowar,Punjab,10,16.080887420397666,64.25542296554892,58.53005043457536,40.304815531172366
Cotton,Punjab,1,27.676112196743034,30.98450213815589,124.37285526079232,144.51930096125852
Rice,Maharashtra,9,27.00097178024088,56.14469375964686,189.369502864899,203.78051254479263
Barley,WB,3,25.73342435562546,73.73690217181921,83.29963763995664,40.98227383241145
Soybean,Maharashtra,9,12.716683363320945,67.87134537618596,198.5940756799076,181.29106533872206
Groundnut,Bihar,10,37.810764782686924,50.708146339847374,85.59862002692665,69.09501257528034
Maize,Maharashtra,1,27.76765911104309,27.24503593412409,47.40035923696114,49.94665212295577
Wheat,UP,8,17.919752415959717,80.9455149748184,110.81472209647272,80.56174636774652
Barley,TN,6,30.62254571183562,56.8343039290789,96.37102224383673,110.18678926329113
Rice,Bihar,9,19.53723972606662,82.27625318567564,246.92484512198254,180.56882100281052
Groundnut,Haryana,4,25.175680803232776,50.70900779296081,155.41187179360227,175.89633982842548
Barley,Gujarat,12,20.23395313176949,36.59091174563238,37.93177964155881,19.665860870050945
Rice,Gujarat,5,36.41182079613078,41.51891071688125,248.3587552030332,200.3269717459486
Sugarcane,WB,6,39.81941753604791,49.27045291796143,95.2327109370681,109.20346481332217
Sugarcane,UP,12,14.83546195983696,62.99561932330067,179.0047643114609,112.73562112374965
Jowar,Punjab,9,10.707368516697906,73.82376917791893,171.62687767127971,209.47537391800043
Barley,UP,6,16.579675209461275,36.98484422966078,292.0445334033693,255.10743375755493
Sugarcane,TN,9,27.698559492928403,33.14053444635375,91.38187590172232,57.17890135279611
Rice,Bihar,2,15.218534187325991,34.18611453053663,60.651648624981384,76.11093106160962
Jowar,WB,4,34.3445327381846,85.4149845308062,92.35858728382873,74.19206741582673
Rice,UP,3,22.260117303833272,31.476419759426,181.40921258761497,222.75509039217675
Jowar,MP,4,28.315982221423887,44.20202823778351,80.9121030379154,84.45983513730268
Barley,Punjab,1,23.668535248685767,54.010733419773636,115.33177219218165,108.00982870673604
Groundnut,UP,2,37.09983764856861,58.93424399348145,204.25536049856495,150.05453755563948
Soybean,WB,4,11.054060111868333,80.06596003828864,52.61438762885018,73.29534767572109
Bajra,MP,10,31.87905686969799,27.90186904074068,284.68518773478297,331.7223489039681
Groundnut,Haryana,4,29.565164000225998,27.56093752142418,169.0586481102108,171.35492746265456
Cotton,Bihar,5,29.485450929572796,42.14867549188745,155.4070839400491,185.3413609533765
Rice,Bihar,9,22.419681791146154,48.924102026647105,121.65246710394909,107.50265525503069
Cotton,Haryana,1,10.470256854276926,46.16429633760478,88.78613132836215,104.48645498004336
Groundnut,Maharashtra,8,30.677221659038736,47.433126417804104,155.35220242092979,142.51244106148988
Jowar,Gujarat,3,34.8841363842476,79.60185007542607,156.15627185848788,148.66847877112852
Bajra,MP,9,12.556909329620444,78.56678237871769,35.71415505905068,33.541667165342346
Bajra,Punjab,11,23.24852512731906,76.38509139498964,257.26840699140655,228.6935866505162
Wheat,UP,8,14.877845618411627,72.86964674495617,249.81351261905507,196.34385989362912
Bajra,TN,8,28.32813359288825,22.82724854315995,145.3858467721774,140.84875563877182
Soybean,Gujarat,9,33.5681462907711,30.45713919081385,114.29171319571714,124.65706702805207
Bajra,WB,4,30.00119694782219,71.25348504072737,159.70096584605434,191.80294940446123
Groundnut,Maharashtra,12,19.541802114576562,61.63907463302835,82.0016415157312,98.18349172568004
Wheat,Punjab,5,14.191981084971514,67.17612045252605,20.235864588964976,18.918849948737826
Groundnut,TN,12,33.82804438151386,70.18519701434059,119.20452083443587,134.74584685906618
Groundnut,TN,7,19.717505754780763,83.79552968021454,25.04146258726927,25.227547366311896
Maize,Punjab,2,10.664194952332783,64.46000617069768,31.39669689488491,10.09194283695009
Wheat,Maharashtra,7,27.142636430477523,39.289720007289226,28.251631313049618,29.768162921860377
Groundnut,WB,12,17.40031930700135,25.81111559150525,266.41657236541164,275.7857659616114
Maize,Haryana,3,35.23617995074531,50.24593103614451,60.20998632131667,61.7116517356069
Maize,Gujarat,6,14.297656131723357,69.68946958115606,91.21474019712042,110.96521661058507
Wheat,AP,6,23.04402547177751,39.73309805153484,157.27441137628256,112.45403082121055
Cotton,AP,6,17.593906108330355,28.40555210073049,168.20701724546774,189.92434508494676
Jowar,Maharashtra,10,30.68804857663244,89.91196873275848,54.179171512863974,68.8425539290939
Soybean,TN,2,26.455927280722648,49.32120556827337,274.6637777638022,278.5880628035501
Jowar,UP,9,33.72963157745788,35.142035403287636,84.70295161713324,107.05920578066058
Bajra,Haryana,8,23.758377256709565,31.518915715312403,283.9248534584367,340.55162716520937
Soybean,Haryana,7,10.144252946331868,80.39476659296582,91.92522251657158,112.90003722173915
Bajra,Maharashtra,11,16.45589441618487,77.37227147832695,20.726297589197536,18.99968487752271
Groundnut,WB,12,39.97471324582821,62.932441234392606,292.1211815825062,312.21786324833715
Rice,Maharashtra,12,22.160349679285307,58.302985775534815,155.44056680288145,192.50469346159454
Wheat,UP,9,28.607053236586765,86.6007303351839,266.0501037931334,236.3339201055422
Soybean,Bihar,4,37.14794824176272,35.97873363504148,225.6160253278613,264.2008102238229
Soybean,AP,2,10.615725464352654,49.07755171756271,70.12524421283536,81.31313127381812
Groundnut,Maharashtra,4,29.788221891921857,21.726550127498395,256.6752460296175,303.13602140843153
Cotton,Haryana,12,18.651309219353102,49.30128370164057,34.30193924308958,39.447324948918066
Maize,WB,10,18.377447660572944,46.89515641614845,162.11629233857764,130.2004774320827
Groundnut,AP,11,16.745542097449206,86.46452675730757,91.15169707639848,88.0630150742234
Sugarcane,MP,3,34.681876488734794,45.076270487581624,121.24413885912281,84.59317669560629
Maize,Punjab,2,21.188431973394835,78.4352481542954,231.96793194432436,232.88793947505562
Wheat,Haryana,2,12.013496147812772,73.66155616603,211.34737690523826,183.57263629893725
Maize,MP,8,12.905534736494893,30.309043498809054,143.22338694611418,148.8353905663698
Cotton,WB,5,14.458430880604062,87.39020560337072,32.857145275016265,11.779576236572716
Maize,Haryana,12,36.96782761752776,64.1676025120782,31.17640416803293,34.14454631864295
Wheat,Maharashtra,6,22.823302795220272,61.75853691086025,216.6172702252227,190.04769353077558
Cotton,Haryana,8,37.481480187985625,20.819381086481982,285.6722787538358,213.41632906028664
Jowar,WB,7,34.52438418286373,68.9447555550469,257.23481475366975,290.65969599227805
Soybean,Haryana,7,35.136478637735436,23.89402051023368,54.211533806917174,69.0233162669203
Soybean,UP,12,18.60495433395498,32.97665682951087,53.94352508421735,50.97695854165288
Bajra,TN,7,18.13943238128607,26.903468781107154,190.94795851727315,200.42996817834734
Jowar,MP,12,26.80205139513484,46.4744146133887,204.13146115499853,175.55558027819282
Jowar,Bihar,11,22.537748859698524,75.69980514930077,192.61696113653628,142.86530234788225
